date,city,price,state
1987-06-01,OR-Portland,41.45,OR
1987-06-01,TX-Dallas,,TX
1987-06-01,WA-Seattle,,WA
1987-06-01,Composite-10,66.59,Composite
1987-06-01,Composite-20,,Composite
1987-06-01,National-US,66.24,National
1987-07-01,AZ-Phoenix,,AZ
1987-07-01,CA-Los Angeles,63.66,CA
1987-07-01,CA-San Diego,57.26,CA
1987-07-01,CA-San Francisco,49.49,CA
1987-07-01,CO-Denver,50.28,CO
1987-07-01,DC-Washington,69.79,DC
1987-07-01,FL-Miami,69.7,FL
1987-07-01,FL-Tampa,79.11,FL
1987-07-01,GA-Atlanta,,GA
1987-07-01,IL-Chicago,57.54,IL
1987-07-01,MA-Boston,73.09,MA
1987-07-01,MI-Detroit,,MI
1987-07-01,MN-Minneapolis,,MN
1987-07-01,NC-Charlotte,65.76,NC
1987-07-01,NV-Las Vegas,65.43,NV
1987-07-01,NY-New York,82.22,NY
1987-07-01,OH-Cleveland,55.74,OH
1987-07-01,OR-Portland,41.82,OR
1987-07-01,TX-Dallas,,TX
1987-07-01,WA-Seattle,,WA
1987-07-01,Composite-10,67.54,Composite
1987-07-01,Composite-20,,Composite
1987-07-01,National-US,66.8,National
1987-08-01,AZ-Phoenix,,AZ
1987-08-01,CA-Los Angeles,64.56,CA
1987-08-01,CA-San Diego,57.69,CA
1987-08-01,CA-San Francisco,49.94,CA
1987-08-01,CO-Denver,50.38,CO
1987-08-01,DC-Washington,70.62,DC
1987-08-01,FL-Miami,70.16,FL
1987-08-01,FL-Tampa,79.14,FL
1987-08-01,GA-Atlanta,,GA
1987-08-01,IL-Chicago,58.37,IL
1987-08-01,MA-Boston,73.79,MA
1987-08-01,MI-Detroit,,MI
1987-08-01,MN-Minneapolis,,MN
1987-08-01,NC-Charlotte,66.08,NC
1987-08-01,NV-Las Vegas,65.14,NV
1987-08-01,NY-New York,83.01,NY
1987-08-01,OH-Cleveland,56.1,OH
1987-08-01,OR-Portland,41.9,OR
1987-08-01,TX-Dallas,,TX
1987-08-01,WA-Seattle,,WA
1987-08-01,Composite-10,68.25,Composite
1987-08-01,Composite-20,,Composite
1987-08-01,National-US,67.29,National
1987-09-01,AZ-Phoenix,,AZ
1987-09-01,CA-Los Angeles,65.38,CA
1987-09-01,CA-San Diego,58.14,CA
1987-09-01,CA-San Francisco,50.69,CA
1987-09-01,CO-Denver,50.18,CO
1987-09-01,DC-Washington,71.79,DC
1987-09-01,FL-Miami,70.95,FL
1987-09-01,FL-Tampa,79.24,FL
1987-09-01,GA-Atlanta,,GA
1987-09-01,IL-Chicago,58.85,IL
1987-09-01,MA-Boston,74.39,MA
1987-09-01,MI-Detroit,,MI
1987-09-01,MN-Minneapolis,,MN
1987-09-01,NC-Charlotte,66.47,NC
1987-09-01,NV-Las Vegas,65.85,NV
1987-09-01,NY-New York,83.44,NY
1987-09-01,OH-Cleveland,56.51,OH
1987-09-01,OR-Portland,41.8,OR
1987-09-01,TX-Dallas,,TX
1987-09-01,WA-Seattle,,WA
1987-09-01,Composite-10,68.87,Composite
1987-09-01,Composite-20,,Composite
1987-09-01,National-US,67.64,National
1987-10-01,AZ-Phoenix,,AZ
1987-10-01,CA-Los Angeles,66.2,CA
1987-10-01,CA-San Diego,58.53,CA
1987-10-01,CA-San Francisco,51.33,CA
1987-10-01,CO-Denver,50.38,CO
1987-10-01,DC-Washington,72.57,DC
1987-10-01,FL-Miami,71.28,FL
1987-10-01,FL-Tampa,79.09,FL
1987-10-01,GA-Atlanta,,GA
1987-10-01,IL-Chicago,59.32,IL
1987-10-01,MA-Boston,74.63,MA
1987-10-01,MI-Detroit,,MI
1987-10-01,MN-Minneapolis,,MN
1987-10-01,NC-Charlotte,66.77,NC
1987-10-01,NV-Las Vegas,66.21,NV
1987-10-01,NY-New York,83.88,NY
1987-10-01,OH-Cleveland,56.61,OH
1987-10-01,OR-Portland,41.86,OR
1987-10-01,TX-Dallas,,TX
1987-10-01,WA-Seattle,,WA
1987-10-01,Composite-10,69.42,Composite
1987-10-01,Composite-20,,Composite
1987-10-01,National-US,67.92,National
1987-11-01,AZ-Phoenix,,AZ
1987-11-01,CA-Los Angeles,66.94,CA
1987-11-01,CA-San Diego,59.02,CA
1987-11-01,CA-San Francisco,51.8,CA
1987-11-01,CO-Denver,49.89,CO
1987-11-01,DC-Washington,73.18,DC
1987-11-01,FL-Miami,71.5,FL
1987-11-01,FL-Tampa,79.05,FL
1987-11-01,GA-Atlanta,,GA
1987-11-01,IL-Chicago,59.34,IL
1987-11-01,MA-Boston,74.83,MA
1987-11-01,MI-Detroit,,MI
1987-11-01,MN-Minneapolis,,MN
1987-11-01,NC-Charlotte,67.09,NC
1987-11-01,NV-Las Vegas,67.05,NV
1987-11-01,NY-New York,84.02,NY
1987-11-01,OH-Cleveland,56.6,OH
1987-11-01,OR-Portland,41.67,OR
1987-11-01,TX-Dallas,,TX
1987-11-01,WA-Seattle,,WA
1987-11-01,Composite-10,69.76,Composite
1987-11-01,Composite-20,,Composite
1987-11-01,National-US,68.11,National
1987-12-01,AZ-Phoenix,,AZ
1987-12-01,CA-Los Angeles,67.91,CA
1987-12-01,CA-San Diego,59.4,CA
1987-12-01,CA-San Francisco,52.03,CA
1987-12-01,CO-Denver,49.86,CO
1987-12-01,DC-Washington,73.42,DC
1987-12-01,FL-Miami,71.41,FL
1987-12-01,FL-Tampa,79.15,FL
1987-12-01,GA-Atlanta,,GA
1987-12-01,IL-Chicago,60.3,IL
1987-12-01,MA-Boston,74.74,MA
1987-12-01,MI-Detroit,,MI
1987-12-01,MN-Minneapolis,,MN
1987-12-01,NC-Charlotte,67.19,NC
1987-12-01,NV-Las Vegas,66.66,NV
1987-12-01,NY-New York,84.41,NY
1987-12-01,OH-Cleveland,56.38,OH
1987-12-01,OR-Portland,41.88,OR
